------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 048B 4F00 E745 04
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -2
lat, 36.620764
long, -121.904805
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2024-08-22 12:14:19,20.5
2024-08-22 12:19:19,20.5
2024-08-22 12:24:19,20.5
2024-08-22 12:29:19,20.5
2024-08-22 12:34:19,20.6
2024-08-22 12:39:19,20.6
2024-08-22 12:44:19,20.6
2024-08-22 12:49:19,20.7
2024-08-22 12:54:19,20.7
2024-08-22 12:59:19,20.7
2024-08-22 13:04:19,20.7
2024-08-22 13:09:19,20.7
2024-08-22 13:14:19,20.8
2024-08-22 13:19:19,20.8
2024-08-22 13:24:19,20.9
2024-08-22 13:29:19,20.9
2024-08-22 13:34:19,20.9
2024-08-22 13:39:19,20.9
2024-08-22 13:44:19,20.9
2024-08-22 13:49:19,20.9
2024-08-22 13:54:19,20.9
2024-08-22 13:59:19,21.0
2024-08-22 14:04:19,21.0
2024-08-22 14:09:19,21.1
2024-08-22 14:14:19,21.1
2024-08-22 14:19:19,21.1
2024-08-22 14:24:19,21.1
2024-08-22 14:29:19,21.1
2024-08-22 14:34:19,21.2
2024-08-22 14:39:19,21.2
2024-08-22 14:44:19,21.2
2024-08-22 14:49:19,21.2
2024-08-22 14:54:19,21.2
2024-08-22 14:59:19,21.2
2024-08-22 15:04:19,21.3
2024-08-22 15:09:19,21.3
2024-08-22 15:14:19,21.2
2024-08-22 15:19:19,21.3
2024-08-22 15:24:19,21.3
2024-08-22 15:29:19,21.3
2024-08-22 15:34:19,21.3
2024-08-22 15:39:19,21.4
2024-08-22 15:44:19,21.4
2024-08-22 15:49:19,21.4
2024-08-22 15:54:19,21.4
2024-08-22 15:59:19,21.5
2024-08-22 16:04:19,21.5
2024-08-22 16:09:19,21.5
2024-08-22 16:14:19,21.4
2024-08-22 16:19:19,21.3
2024-08-22 16:24:19,21.5
2024-08-22 16:29:19,21.8
2024-08-22 16:34:19,21.4
2024-08-22 16:39:19,21.2
2024-08-22 16:44:19,21.3
2024-08-22 16:49:19,21.4
