------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0441 F100 3817 08
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -2
lat, 36.620756
long, -121.904821
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2024-08-22 12:16:14,20.5
2024-08-22 12:21:14,20.6
2024-08-22 12:26:14,20.6
2024-08-22 12:31:14,20.6
2024-08-22 12:36:14,20.7
2024-08-22 12:41:14,20.7
2024-08-22 12:46:14,20.7
2024-08-22 12:51:14,20.7
2024-08-22 12:56:14,20.7
2024-08-22 13:01:14,20.8
2024-08-22 13:06:14,20.8
2024-08-22 13:11:14,20.8
2024-08-22 13:16:14,20.9
2024-08-22 13:21:14,20.9
2024-08-22 13:26:14,20.9
2024-08-22 13:31:14,21.0
2024-08-22 13:36:14,21.0
2024-08-22 13:41:14,21.0
2024-08-22 13:46:14,21.0
2024-08-22 13:51:14,21.0
2024-08-22 13:56:14,21.0
2024-08-22 14:01:14,21.1
2024-08-22 14:06:14,21.1
2024-08-22 14:11:14,21.1
2024-08-22 14:16:14,21.2
2024-08-22 14:21:14,21.2
2024-08-22 14:26:14,21.2
2024-08-22 14:31:14,21.2
2024-08-22 14:36:14,21.2
2024-08-22 14:41:14,21.2
2024-08-22 14:46:14,21.3
2024-08-22 14:51:14,21.3
2024-08-22 14:56:14,21.3
2024-08-22 15:01:14,21.3
2024-08-22 15:06:14,21.3
2024-08-22 15:11:14,21.3
2024-08-22 15:16:14,21.3
2024-08-22 15:21:14,21.4
2024-08-22 15:26:14,21.4
2024-08-22 15:31:14,21.4
2024-08-22 15:36:14,21.4
2024-08-22 15:41:14,21.4
2024-08-22 15:46:14,21.4
2024-08-22 15:51:14,21.5
2024-08-22 15:56:14,21.5
2024-08-22 16:01:14,21.5
2024-08-22 16:06:14,21.5
2024-08-22 16:11:14,21.5
2024-08-22 16:16:14,21.5
2024-08-22 16:21:14,21.2
2024-08-22 16:26:14,21.6
2024-08-22 16:31:14,21.8
2024-08-22 16:36:14,21.3
2024-08-22 16:41:14,21.3
2024-08-22 16:46:14,21.5
2024-08-22 16:51:14,21.5
