------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04FC B300 F82D 0E
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -3
lat, 36.620753
long, -121.904818
accuracy (m), 5.1
------------------------------,--------------------
time,temp
2024-08-22 12:14:59,20.4
2024-08-22 12:19:59,20.5
2024-08-22 12:24:59,20.5
2024-08-22 12:29:59,20.5
2024-08-22 12:34:59,20.6
2024-08-22 12:39:59,20.6
2024-08-22 12:44:59,20.6
2024-08-22 12:49:59,20.7
2024-08-22 12:54:59,20.6
2024-08-22 12:59:59,20.7
2024-08-22 13:04:59,20.8
2024-08-22 13:09:59,20.8
2024-08-22 13:14:59,20.8
2024-08-22 13:19:59,20.9
2024-08-22 13:24:59,20.9
2024-08-22 13:29:59,20.9
2024-08-22 13:34:59,20.9
2024-08-22 13:39:59,20.9
2024-08-22 13:44:59,20.9
2024-08-22 13:49:59,21.0
2024-08-22 13:54:59,21.0
2024-08-22 13:59:59,21.0
2024-08-22 14:04:59,21.0
2024-08-22 14:09:59,21.1
2024-08-22 14:14:59,21.0
2024-08-22 14:19:59,21.1
2024-08-22 14:24:59,21.1
2024-08-22 14:29:59,21.2
2024-08-22 14:34:59,21.2
2024-08-22 14:39:59,21.2
2024-08-22 14:44:59,21.2
2024-08-22 14:49:59,21.2
2024-08-22 14:54:59,21.3
2024-08-22 14:59:59,21.3
2024-08-22 15:04:59,21.3
2024-08-22 15:09:59,21.3
2024-08-22 15:14:59,21.3
2024-08-22 15:19:59,21.3
2024-08-22 15:24:59,21.3
2024-08-22 15:29:59,21.3
2024-08-22 15:34:59,21.3
2024-08-22 15:39:59,21.4
2024-08-22 15:44:59,21.4
2024-08-22 15:49:59,21.4
2024-08-22 15:54:59,21.4
2024-08-22 15:59:59,21.4
2024-08-22 16:04:59,21.4
2024-08-22 16:09:59,21.5
2024-08-22 16:14:59,21.5
2024-08-22 16:19:59,21.2
2024-08-22 16:24:59,21.5
2024-08-22 16:29:59,21.7
2024-08-22 16:34:59,21.2
2024-08-22 16:39:59,21.2
2024-08-22 16:44:59,21.4
2024-08-22 16:49:59,21.5
