------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 049A 2500 9F39 0B
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 234
time diff [logger-smartphone](sec), -4
lat, 36.620756
long, -121.904798
accuracy (m), 5.0
------------------------------,--------------------
time,temp
2024-08-22 11:54:27,20.4
2024-08-22 11:59:27,20.4
2024-08-22 12:04:27,20.4
2024-08-22 12:09:27,20.5
2024-08-22 12:14:27,20.4
2024-08-22 12:19:27,20.5
2024-08-22 12:24:27,20.6
2024-08-22 12:29:27,20.6
2024-08-22 12:34:27,20.6
2024-08-22 12:39:27,20.6
2024-08-22 12:44:27,20.7
2024-08-22 12:49:27,20.7
2024-08-22 12:54:27,20.7
2024-08-22 12:59:27,20.7
2024-08-22 13:04:27,20.8
2024-08-22 13:09:27,20.8
2024-08-22 13:14:27,20.8
2024-08-22 13:19:27,20.9
2024-08-22 13:24:27,20.9
2024-08-22 13:29:27,20.9
2024-08-22 13:34:27,20.9
2024-08-22 13:39:27,21.0
2024-08-22 13:44:27,21.0
2024-08-22 13:49:27,21.0
2024-08-22 13:54:27,21.0
2024-08-22 13:59:27,21.1
2024-08-22 14:04:27,21.1
2024-08-22 14:09:27,21.1
2024-08-22 14:14:27,21.1
2024-08-22 14:19:27,21.1
2024-08-22 14:24:27,21.2
2024-08-22 14:29:27,21.2
2024-08-22 14:34:27,21.2
2024-08-22 14:39:27,21.2
2024-08-22 14:44:27,21.2
2024-08-22 14:49:27,21.2
2024-08-22 14:54:27,21.3
2024-08-22 14:59:27,21.3
2024-08-22 15:04:27,21.3
2024-08-22 15:09:27,21.3
2024-08-22 15:14:27,21.4
2024-08-22 15:19:27,21.3
2024-08-22 15:24:27,21.4
2024-08-22 15:29:27,21.3
2024-08-22 15:34:27,21.3
2024-08-22 15:39:27,21.4
2024-08-22 15:44:27,21.4
2024-08-22 15:49:27,21.4
2024-08-22 15:54:27,21.4
2024-08-22 15:59:27,21.5
2024-08-22 16:04:27,21.5
2024-08-22 16:09:27,21.5
2024-08-22 16:14:27,21.6
2024-08-22 16:19:27,21.2
2024-08-22 16:24:27,21.5
2024-08-22 16:29:27,21.7
2024-08-22 16:34:27,21.1
2024-08-22 16:39:27,21.1
2024-08-22 16:44:27,21.3
2024-08-22 16:49:27,21.4
